table,project,link,sponsors
67,pharm,http://hacknyu2017.devpost.com/submissions/67783-pharm,""
68,Thematic Ambient Music Generator(TAMG),http://hacknyu2017.devpost.com/submissions/67789-thematic-ambient-music-generator-tamg,Assistive Technology
69,Accumulab,http://hacknyu2017.devpost.com/submissions/67790-accumulab,Healthcare
70,Pecunia Ex Machina (P.E.M.),http://hacknyu2017.devpost.com/submissions/67792-pecunia-ex-machina-p-e-m,"Best Domain Name from Domain.com, Amazon Web Services - Best Use of AWS"
71,Save A Grade,http://hacknyu2017.devpost.com/submissions/67794-save-a-grade,Educational Technology
72,HackNYU2017,http://hacknyu2017.devpost.com/submissions/67795-hacknyu2017,""
73,New York Fast Track,http://hacknyu2017.devpost.com/submissions/67797-new-york-fast-track,"Assistive Technology, Verizon Prize, #HackHarassment, Viacom Prize , Make School Prize"
74,Capisce,http://hacknyu2017.devpost.com/submissions/67798-capisce,""
75,Memo Rooms,http://hacknyu2017.devpost.com/submissions/67799-memo-rooms,"Educational Technology, Make School Prize"
76,Hello! Bud - An Education + Project Assistant,http://hacknyu2017.devpost.com/submissions/67801-hello-bud-an-education-project-assistant,"Assistive Technology, Educational Technology, Verizon Prize, #HackHarassment, Viacom Prize , Make School Prize"
77,ecoBike,http://hacknyu2017.devpost.com/submissions/67802-ecobike,"Make School Prize, Sustainability & Social Impact"
78,Tactile video for dental simulations,http://hacknyu2017.devpost.com/submissions/67803-tactile-video-for-dental-simulations,""
79,Gryft,http://hacknyu2017.devpost.com/submissions/67804-gryft,Make School Prize
80,MealPic,http://hacknyu2017.devpost.com/submissions/67806-mealpic,"Healthcare, Verizon Prize, Viacom Prize , Make School Prize"
81,Quack,http://hacknyu2017.devpost.com/submissions/67807-quack,"Educational Technology, Viacom Prize "
82,Emergenseek,http://hacknyu2017.devpost.com/submissions/67809-emergenseek,Healthcare
83,EduPro,http://hacknyu2017.devpost.com/submissions/67811-edupro,"Educational Technology, Sustainability & Social Impact"
84,Collabarter,http://hacknyu2017.devpost.com/submissions/67812-collabarter,Educational Technology
85,Ologee,http://hacknyu2017.devpost.com/submissions/67813-ologee,"Verizon Prize, #HackHarassment, Best Domain Name from Domain.com, Amazon Web Services - Best Use of AWS, Viacom Prize , Make School Prize, Sustainability & Social Impact"
